b_name,b,wind,decay_ratio,mean,std,n,p2.5,p5,p25,p50,p75,p95,p97.5
lower,0.125000,isotropic,0.300000,0.659986,0.187215,10000,0.307938,0.341142,0.513797,0.671720,0.815121,0.941920,0.961561
lower,0.125000,seoul,0.300000,0.660599,0.187446,10000,0.304718,0.341564,0.515321,0.671968,0.815292,0.942910,0.961019
lower,0.125000,jeju,0.300000,0.660487,0.187672,10000,0.306111,0.340561,0.515073,0.672135,0.815874,0.941090,0.962038
lower,0.125000,isotropic,0.500000,0.435935,0.246815,10000,0.064783,0.083417,0.226806,0.412593,0.628929,0.864957,0.912059
lower,0.125000,seoul,0.500000,0.436869,0.246932,10000,0.064654,0.083318,0.227373,0.413392,0.631556,0.866100,0.914334
lower,0.125000,jeju,0.500000,0.436767,0.246979,10000,0.064281,0.084125,0.226072,0.411978,0.631196,0.864034,0.911220
lower,0.125000,isotropic,0.600000,0.365549,0.250893,10000,0.029825,0.041991,0.146673,0.321842,0.556044,0.825734,0.875325
lower,0.125000,seoul,0.600000,0.366393,0.251097,10000,0.029557,0.041063,0.148266,0.322458,0.558368,0.826012,0.876543
lower,0.125000,jeju,0.600000,0.366379,0.251124,10000,0.029613,0.041744,0.145287,0.322202,0.558464,0.829862,0.876636
lower,0.125000,isotropic,0.700000,0.308990,0.244375,10000,0.014293,0.021154,0.095037,0.249605,0.480962,0.778015,0.850482
lower,0.125000,seoul,0.700000,0.310149,0.244811,10000,0.014502,0.021548,0.095047,0.251475,0.487004,0.776835,0.850705
lower,0.125000,jeju,0.700000,0.309458,0.244479,10000,0.014289,0.021157,0.095150,0.249902,0.481479,0.776935,0.851158
lower,0.125000,isotropic,0.800000,0.272655,0.236655,10000,0.007779,0.012859,0.069676,0.204753,0.425506,0.752565,0.821274
lower,0.125000,seoul,0.800000,0.273326,0.236857,10000,0.007966,0.013203,0.071336,0.205405,0.426181,0.754974,0.822134
lower,0.125000,jeju,0.800000,0.273507,0.237062,10000,0.007766,0.012685,0.069340,0.205999,0.425967,0.753031,0.821784
mean,0.100000,isotropic,0.300000,0.597534,0.212124,10000,0.217866,0.249337,0.426539,0.603594,0.772986,0.927792,0.952124
mean,0.100000,seoul,0.300000,0.598273,0.212276,10000,0.215983,0.249791,0.428034,0.603736,0.773288,0.929043,0.951457
mean,0.100000,jeju,0.300000,0.598169,0.212496,10000,0.215964,0.248740,0.427715,0.604182,0.773796,0.926759,0.952712
mean,0.100000,isotropic,0.500000,0.365896,0.253588,10000,0.028297,0.039394,0.146609,0.321420,0.555271,0.833445,0.891013
mean,0.100000,seoul,0.500000,0.366824,0.253714,10000,0.028199,0.039327,0.146861,0.321889,0.558221,0.834846,0.893792
mean,0.100000,jeju,0.500000,0.366716,0.253820,10000,0.027983,0.040133,0.146064,0.321028,0.557652,0.832263,0.890005
mean,0.100000,isotropic,0.600000,0.299303,0.249186,10000,0.010363,0.016168,0.082995,0.232750,0.474100,0.786026,0.846091
mean,0.100000,seoul,0.600000,0.300086,0.249510,10000,0.010290,0.015886,0.083984,0.233167,0.476129,0.786439,0.847622
mean,0.100000,jeju,0.600000,0.300092,0.249438,10000,0.010260,0.016013,0.082138,0.233123,0.476667,0.791128,0.847591
mean,0.100000,isotropic,0.700000,0.247108,0.235850,10000,0.004024,0.006681,0.047215,0.167276,0.393358,0.728992,0.815940
mean,0.100000,seoul,0.700000,0.248168,0.236333,10000,0.004118,0.006790,0.047331,0.168955,0.399176,0.727120,0.816187
mean,0.100000,jeju,0.700000,0.247512,0.236028,10000,0.004018,0.006675,0.047243,0.167644,0.393790,0.727755,0.816776
mean,0.100000,isotropic,0.800000,0.214343,0.224548,10000,0.001849,0.003535,0.031637,0.129439,0.335950,0.698923,0.780733
mean,0.100000,seoul,0.800000,0.214909,0.224823,10000,0.001901,0.003686,0.032574,0.129767,0.337331,0.701443,0.781472
mean,0.100000,jeju,0.800000,0.215110,0.224976,10000,0.001848,0.003468,0.031453,0.130382,0.336246,0.699747,0.781307
