S_N,wind,decay_ratio,rho_p5,rho_p50,rho_p95,shorten_p5,shorten_p50,shorten_p95
lower,isotropic,0.3000,0.3411,0.6717,0.9419,2.9313,1.4887,1.0617
lower,seoul,0.3000,0.3416,0.6720,0.9429,2.9277,1.4882,1.0605
lower,jeju,0.3000,0.3406,0.6721,0.9411,2.9363,1.4878,1.0626
lower,isotropic,0.5000,0.0834,0.4126,0.8650,11.9880,2.4237,1.1561
lower,seoul,0.5000,0.0833,0.4134,0.8661,12.0022,2.4190,1.1546
lower,jeju,0.5000,0.0841,0.4120,0.8640,11.8871,2.4273,1.1574
lower,isotropic,0.6000,0.0420,0.3218,0.8257,23.8146,3.1071,1.2110
lower,seoul,0.6000,0.0411,0.3225,0.8260,24.3528,3.1012,1.2106
lower,jeju,0.6000,0.0417,0.3222,0.8299,23.9555,3.1036,1.2050
lower,isotropic,0.7000,0.0212,0.2496,0.7780,47.2724,4.0063,1.2853
lower,seoul,0.7000,0.0215,0.2515,0.7768,46.4080,3.9765,1.2873
lower,jeju,0.7000,0.0212,0.2499,0.7769,47.2657,4.0016,1.2871
lower,isotropic,0.8000,0.0129,0.2048,0.7526,77.7665,4.8839,1.3288
lower,seoul,0.8000,0.0132,0.2054,0.7550,75.7404,4.8684,1.3245
lower,jeju,0.8000,0.0127,0.2060,0.7530,78.8333,4.8544,1.3280
mean,isotropic,0.3000,0.2493,0.6036,0.9278,4.0106,1.6567,1.0778
mean,seoul,0.3000,0.2498,0.6037,0.9290,4.0033,1.6564,1.0764
mean,jeju,0.3000,0.2487,0.6042,0.9268,4.0203,1.6551,1.0790
mean,isotropic,0.5000,0.0394,0.3214,0.8334,25.3846,3.1112,1.1998
mean,seoul,0.5000,0.0393,0.3219,0.8348,25.4278,3.1067,1.1978
mean,jeju,0.5000,0.0401,0.3210,0.8323,24.9172,3.1150,1.2015
mean,isotropic,0.6000,0.0162,0.2328,0.7860,61.8506,4.2965,1.2722
mean,seoul,0.6000,0.0159,0.2332,0.7864,62.9485,4.2888,1.2716
mean,jeju,0.6000,0.0160,0.2331,0.7911,62.4493,4.2896,1.2640
mean,isotropic,0.7000,0.0067,0.1673,0.7290,149.6782,5.9781,1.3718
mean,seoul,0.7000,0.0068,0.1690,0.7271,147.2754,5.9187,1.3753
mean,jeju,0.7000,0.0067,0.1676,0.7278,149.8127,5.9650,1.3741
mean,isotropic,0.8000,0.0035,0.1294,0.6989,282.8854,7.7256,1.4308
mean,seoul,0.8000,0.0037,0.1298,0.7014,271.2968,7.7061,1.4256
mean,jeju,0.8000,0.0035,0.1304,0.6997,288.3506,7.6698,1.4291
