region,sn,decay_ratio,T_concentric_yr,T_p5_yr,T_p50_yr,T_p95_yr,inspection_interval_yr,category
Seoul,lower,0.3000,53.2000,18.1488,35.7355,50.1101,9.0744,BI-ANNUAL
Seoul,lower,0.5000,25.5000,2.1271,10.5211,22.0564,1.0636,ANNUAL inspection
Seoul,lower,0.6000,9.5000,0.3989,3.0575,7.8445,0.1995,REMOVE (urgent)
Seoul,lower,0.7000,1.7000,0.0360,0.4243,1.3226,0.0500,REMOVE (immediate)
Seoul,lower,0.8000,0.1000,0.0013,0.0205,0.0753,0.0500,REMOVE (immediate)
Seoul,mean,0.3000,1569.8000,391.4085,947.5219,1456.4478,195.7043,STANDARD (5-yr)
Seoul,mean,0.5000,336.4000,13.2522,108.1257,280.3708,6.6261,BI-ANNUAL
Seoul,mean,0.6000,62.0000,1.0024,14.4305,48.7337,0.5012,ANNUAL inspection
Seoul,mean,0.7000,6.9000,0.0461,1.1542,5.0300,0.0500,REMOVE (immediate)
Seoul,mean,0.8000,0.4000,0.0014,0.0518,0.2796,0.0500,REMOVE (immediate)
Incheon,lower,0.3000,22.6518,7.7275,15.2157,21.3362,3.8637,BI-ANNUAL
Incheon,lower,0.5000,10.8575,0.9057,4.4797,9.3913,0.4529,REMOVE (urgent)
Incheon,lower,0.6000,4.0450,0.1699,1.3018,3.3401,0.0849,REMOVE (urgent)
Incheon,lower,0.7000,0.7238,0.0153,0.1807,0.5632,0.0500,REMOVE (immediate)
Incheon,lower,0.8000,0.0426,0.0005,0.0087,0.0320,0.0500,REMOVE (immediate)
Incheon,mean,0.3000,668.3977,166.6560,403.4409,620.1340,83.3280,STANDARD (5-yr)
Incheon,mean,0.5000,143.2342,5.6426,46.0383,119.3778,2.8213,BI-ANNUAL
Incheon,mean,0.6000,26.3987,0.4268,6.1443,20.7501,0.2134,REMOVE (urgent)
Incheon,mean,0.7000,2.9379,0.0196,0.4914,2.1417,0.0500,REMOVE (immediate)
Incheon,mean,0.8000,0.1703,0.0006,0.0220,0.1190,0.0500,REMOVE (immediate)
Jeju,lower,0.3000,16.1419,5.5067,10.8429,15.2044,2.7533,BI-ANNUAL
Jeju,lower,0.5000,7.7372,0.6454,3.1923,6.6923,0.3227,REMOVE (urgent)
Jeju,lower,0.6000,2.8825,0.1210,0.9277,2.3802,0.0605,REMOVE (urgent)
Jeju,lower,0.7000,0.5158,0.0109,0.1287,0.4013,0.0500,REMOVE (immediate)
Jeju,lower,0.8000,0.0303,0.0004,0.0062,0.0228,0.0500,REMOVE (immediate)
Jeju,mean,0.3000,476.3079,118.7610,287.4966,441.9146,59.3805,STANDARD (5-yr)
Jeju,mean,0.5000,102.0703,4.0210,32.8074,85.0700,2.0105,ANNUAL inspection
Jeju,mean,0.6000,18.8120,0.3042,4.3785,14.7867,0.1521,REMOVE (urgent)
Jeju,mean,0.7000,2.0936,0.0140,0.3502,1.5262,0.0500,REMOVE (immediate)
Jeju,mean,0.8000,0.1214,0.0004,0.0157,0.0848,0.0500,REMOVE (immediate)
